2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=OCC, 名前=オクシタニア
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=POR, 名前=ポルトガル
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=PRE, 名前=プロイセン
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=SAX, 名前=ザクセン
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=SHL, 名前=シュレースヴィヒ
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=SIC, 名前=シチリア
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=SPR, 名前=スペイン
2025-05-23 09:21:22,221 - controllers.app_controller - INFO - 国家情報を追加: TAG=SRD, 名前=サルデーニャ
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=SWE, 名前=スウェーデン
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=SWI, 名前=スイス
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=TUS, 名前=トスカーナ
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=USA, 名前=アメリカ
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=VAT, 名前=バチカン
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=VNC, 名前=ヴェネツィア
2025-05-23 09:21:22,222 - controllers.app_controller - INFO - 国家情報を追加: TAG=WGR, 名前=西ドイツ
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=WUR, 名前=ヴュルテンベルク
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=ALB, 名前=アルバニア
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=BLR, 名前=ベラルーシ
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=BOS, 名前=ボスニア
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=BSK, 名前=バシコルトスタン
2025-05-23 09:21:22,223 - controllers.app_controller - INFO - 国家情報を追加: TAG=BUL, 名前=ブルガリア
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=CHU, 名前=チュヴァシ
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=CRI, 名前=クリミア
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=CRO, 名前=クロアチア
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=CZE, 名前=チェコ
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=DAG, 名前=ダゲスタン
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=DNZ, 名前=ダンツィヒ
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=DON, 名前=ドン
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=EGR, 名前=東ドイツ
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=EST, 名前=エストニア
2025-05-23 09:21:22,224 - controllers.app_controller - INFO - 国家情報を追加: TAG=FIN, 名前=フィンランド
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=GRE, 名前=ギリシャ
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=HRZ, 名前=ヘルツェゴビナ
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=HUN, 名前=ハンガリー
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KAL, 名前=カルムイク
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KAR, 名前=カレリア
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KBK, 名前=カバルダ＝バルカル
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KOM, 名前=コミ
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KOS, 名前=コソボ
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KSH, 名前=カシュビア
2025-05-23 09:21:22,225 - controllers.app_controller - INFO - 国家情報を追加: TAG=KUB, 名前=クバン
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=LAT, 名前=ラトビア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=LIT, 名前=リトアニア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=MAC, 名前=マケドニア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=MEL, 名前=マリ・エル
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=MNT, 名前=モンテネグロ
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=MOL, 名前=モルダヴィア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=NCC, 名前=北コーカサス
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=NEN, 名前=ネネツ
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=NOA, 名前=北オセチア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=POL, 名前=ポーランド
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=ROM, 名前=ルーマニア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=SER, 名前=セルビア
2025-05-23 09:21:22,226 - controllers.app_controller - INFO - 国家情報を追加: TAG=SIL, 名前=シレジア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=SLO, 名前=スロヴァキア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=SLV, 名前=スロベニア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=SOV, 名前=ソビエト
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=TAT, 名前=タタールスタン
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=TRA, 名前=トランシルヴァニア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=UDM, 名前=ウドムルト
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=UKR, 名前=ウクライナ
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=VLG, 名前=ヴォルガ
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=YUG, 名前=ユーゴスラビア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=ALG, 名前=アルジェリア
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=ANG, 名前=アンゴラ
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=BOT, 名前=ボツワナ
2025-05-23 09:21:22,227 - controllers.app_controller - INFO - 国家情報を追加: TAG=BRD, 名前=ブルンジ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=CAR, 名前=中央アフリカ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=CHA, 名前=チャド
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=CMR, 名前=カメルーン
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=COG, 名前=コンゴ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=DAH, 名前=ダホメ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=DJI, 名前=ジブチ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=EAF, 名前=東アフリカ
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=EGY, 名前=エジプト
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=EQG, 名前=赤道ギニア
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=ERI, 名前=エリトリア
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=ETH, 名前=エチオピア
2025-05-23 09:21:22,228 - controllers.app_controller - INFO - 国家情報を追加: TAG=GAB, 名前=ガボン
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=GAM, 名前=ガンビア
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=GHA, 名前=ガーナ
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=GNA, 名前=ギニア
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=GNB, 名前=ギニアビサウ
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=IVO, 名前=コートジボワール
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=KEN, 名前=ケニア
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=LBA, 名前=リビア
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=LIB, 名前=リベリア
2025-05-23 09:21:22,229 - controllers.app_controller - INFO - 国家情報を追加: TAG=MAD, 名前=マダガスカル
